gender,region,"What form of education did you come in?","GPA cumulative high school",Englist,"What is your opinion on learning information technology?","Able to do homework and classroom work by yourself","Have the courage to ask a teacher about a question","There is a concern about being addicted to F in various subjects.","Test preparation","Gaming behavior","GPA currently being studied"
male,Central,Portfolio,Excellent,Unsatisfy,Easy,"Always try",Sometimes,Never,"Read the book 1 week",medium,Appropriate
female,Eastern,Portfolio,Excellent,Unsatisfy,Normal,Sometimes,Dare,Sometimes,"Read book alone",medium,Inappropriate
female,Western,tcas,Excellent,Unsatisfy,"Too Hard",Sometimes,"Not brave","Every time","Tutoring with friends",medium,Inappropriate
male,Eastern,"area quota",Good,Unsatisfy,Normal,Sometimes,Sometimes,Sometimes,"Tutoring with friends",medium,Inappropriate
male,Central,Admissions,Unsatisfy,Good,Normal,Sometimes,Sometimes,Sometimes,"Tutoring with friends",medium,Appropriate
female,Northeastern,"Direct examination",Excellent,Fair,Normal,Sometimes,Sometimes,"Every time","Tutoring with friends",medium,Inappropriate
male,Southern,"GoodGrade quota",Excellent,Unsatisfy,Normal,Sometimes,"Not brave",Sometimes,"Not prepared",medium,Appropriate
female,Northern,"GoodGrade quota",Excellent,Unsatisfy,Normal,Sometimes,Sometimes,"Every time","Tutoring with friends",medium,Inappropriate
male,Central,Get-pat,Good,Fair,Normal,"Always try",Sometimes,Never,"Read the book 1 night",medium,Appropriate
female,Eastern,"area quota",Excellent,Unsatisfy,Normal,Sometimes,Dare,Sometimes,"Tutoring with friends",medium,Inappropriate
female,Central,"Direct examination",Excellent,Excellent,Normal,Sometimes,Sometimes,Sometimes,"Tutoring with friends",medium,Appropriate
male,Central,"Direct examination",Good,Excellent,Normal,"Always peel friends",Sometimes,Sometimes,"Tutoring with friends",medium,Inappropriate
female,Central,O-net,Good,Fair,Normal,Sometimes,Sometimes,"Every time","Tutoring with friends","Do not play",Inappropriate
male,Central,Portfolio,Fair,Fair,Normal,Sometimes,Sometimes,Sometimes,"Read book alone",high,Appropriate
male,Central,Portfolio,Fair,Unsatisfy,"Too Hard",Sometimes,Dare,Never,"Tutoring with friends",medium,?
